"year","month","scenario","measure","x","y","value"
2030,"apr","A1B","baseflow",-120.25,45.75,0.0544699989259243
2030,"apr","A1B","baseflow",-119.75,45.75,0.00404000002890825
2030,"apr","A1B","baseflow",-119.25,45.75,1.48171997070312
2030,"apr","A1B","baseflow",-118.75,45.75,28.8819007873535
2030,"apr","A1B","baseflow",-118.25,45.75,92.8125
2030,"apr","A1B","baseflow",-117.75,45.75,86.9685974121094
2030,"apr","A1B","baseflow",-117.25,45.75,33.6132011413574
2030,"apr","A1B","baseflow",-123.75,45.25,141.955001831055
2030,"apr","A1B","baseflow",-123.25,45.25,76.6804962158203
2030,"apr","A1B","baseflow",-122.75,45.25,65.1201019287109
2030,"apr","A1B","baseflow",-122.25,45.25,138.490005493164
2030,"apr","A1B","baseflow",-121.75,45.25,165.470001220703
2030,"apr","A1B","baseflow",-121.25,45.25,6.29756021499634
2030,"apr","A1B","baseflow",-120.75,45.25,0.0344800017774105
2030,"apr","A1B","baseflow",-120.25,45.25,0.0321599990129471
2030,"apr","A1B","baseflow",-119.75,45.25,0.0830999985337257
2030,"apr","A1B","baseflow",-119.25,45.25,8.46681022644043
2030,"apr","A1B","baseflow",-118.75,45.25,62.0662994384766
2030,"apr","A1B","baseflow",-118.25,45.25,74.6467971801758
2030,"apr","A1B","baseflow",-117.75,45.25,93.2883987426758
2030,"apr","A1B","baseflow",-117.25,45.25,122.791000366211
2030,"apr","A1B","baseflow",-123.75,44.75,144.162994384766
2030,"apr","A1B","baseflow",-123.25,44.75,78.866096496582
2030,"apr","A1B","baseflow",-122.75,44.75,109.022003173828
2030,"apr","A1B","baseflow",-122.25,44.75,139.093994140625
2030,"apr","A1B","baseflow",-121.75,44.75,114.654998779297
2030,"apr","A1B","baseflow",-121.25,44.75,22.6900005340576
2030,"apr","A1B","baseflow",-120.75,44.75,1.3308299779892
2030,"apr","A1B","baseflow",-120.25,44.75,0.0249199997633696
2030,"apr","A1B","baseflow",-119.75,44.75,0.149010002613068
2030,"apr","A1B","baseflow",-119.25,44.75,4.89820003509521
2030,"apr","A1B","baseflow",-118.75,44.75,73.0208969116211
2030,"apr","A1B","baseflow",-118.25,44.75,85.6559982299805
2030,"apr","A1B","baseflow",-117.75,44.75,11.5871000289917
2030,"apr","A1B","baseflow",-117.25,44.75,66.6829986572266
2030,"apr","A1B","baseflow",-123.75,44.25,113.111999511719
2030,"apr","A1B","baseflow",-123.25,44.25,90.1685028076172
2030,"apr","A1B","baseflow",-122.75,44.25,113.279998779297
2030,"apr","A1B","baseflow",-122.25,44.25,103.05899810791
2030,"apr","A1B","baseflow",-121.75,44.25,87.0123977661133
2030,"apr","A1B","baseflow",-121.25,44.25,2.97761011123657
2030,"apr","A1B","baseflow",-120.75,44.25,0.207379996776581
2030,"apr","A1B","baseflow",-120.25,44.25,0.273240000009537
2030,"apr","A1B","baseflow",-119.75,44.25,0.275849997997284
2030,"apr","A1B","baseflow",-119.25,44.25,0.640349984169006
2030,"apr","A1B","baseflow",-118.75,44.25,56.2088012695312
2030,"apr","A1B","baseflow",-118.25,44.25,55.9224014282227
2030,"apr","A1B","baseflow",-117.75,44.25,4.65244007110596
2030,"apr","A1B","baseflow",-117.25,44.25,7.02560997009277
2030,"apr","A1B","baseflow",-123.75,43.75,77.6808013916016
2030,"apr","A1B","baseflow",-123.25,43.75,73.9617004394531
2030,"apr","A1B","baseflow",-122.75,43.75,76.5792999267578
2030,"apr","A1B","baseflow",-122.25,43.75,87.5014038085938
2030,"apr","A1B","baseflow",-121.75,43.75,58.7673988342285
2030,"apr","A1B","baseflow",-121.25,43.75,11.6190004348755
2030,"apr","A1B","baseflow",-120.75,43.75,0.0727899968624115
2030,"apr","A1B","baseflow",-120.25,43.75,0.0211200006306171
2030,"apr","A1B","baseflow",-119.75,43.75,0.0836799964308739
2030,"apr","A1B","baseflow",-119.25,43.75,0.0854599997401237
2030,"apr","A1B","baseflow",-118.75,43.75,16.5035991668701
2030,"apr","A1B","baseflow",-118.25,43.75,3.31527996063232
2030,"apr","A1B","baseflow",-117.75,43.75,1.43861997127533
2030,"apr","A1B","baseflow",-117.25,43.75,0.836969971656799
2030,"apr","A1B","baseflow",-124.25,43.25,83.7121963500977
2030,"apr","A1B","baseflow",-123.75,43.25,69.1756973266602
2030,"apr","A1B","baseflow",-123.25,43.25,53.660701751709
2030,"apr","A1B","baseflow",-122.75,43.25,67.7366027832031
2030,"apr","A1B","baseflow",-122.25,43.25,80.5693969726562
2030,"apr","A1B","baseflow",-121.75,43.25,40.8916015625
2030,"apr","A1B","baseflow",-121.25,43.25,6.59838008880615
2030,"apr","A1B","baseflow",-120.75,43.25,3.56929993629456
2030,"apr","A1B","baseflow",-118.25,43.25,1.50543999671936
2030,"apr","A1B","baseflow",-117.75,43.25,0.521759986877441
2030,"apr","A1B","baseflow",-117.25,43.25,2.93871998786926
2030,"apr","A1B","baseflow",-124.25,42.75,104.123001098633
2030,"apr","A1B","baseflow",-123.75,42.75,83.6977996826172
2030,"apr","A1B","baseflow",-123.25,42.75,59.605598449707
2030,"apr","A1B","baseflow",-122.75,42.75,55.8322982788086
2030,"apr","A1B","baseflow",-122.25,42.75,54.9706993103027
2030,"apr","A1B","baseflow",-121.75,42.75,26.6683006286621
2030,"apr","A1B","baseflow",-121.25,42.75,2.18952989578247
2030,"apr","A1B","baseflow",-120.75,42.75,8.98353004455566
2030,"apr","A1B","baseflow",-118.25,42.75,3.68512988090515
2030,"apr","A1B","baseflow",-117.75,42.75,0.0324699990451336
2030,"apr","A1B","baseflow",-117.25,42.75,2.68954992294312
2030,"apr","A1B","baseflow",-124.25,42.25,116.775001525879
2030,"apr","A1B","baseflow",-123.75,42.25,84.8486022949219
2030,"apr","A1B","baseflow",-123.25,42.25,53.931999206543
2030,"apr","A1B","baseflow",-122.75,42.25,24.1021003723145
2030,"apr","A1B","baseflow",-122.25,42.25,20.778600692749
2030,"apr","A1B","baseflow",-121.75,42.25,0.951189994812012
2030,"apr","A1B","baseflow",-121.25,42.25,2.4172899723053
2030,"apr","A1B","baseflow",-120.75,42.25,0.7292600274086
2030,"apr","A1B","baseflow",-120.25,42.25,3.59253001213074
2030,"apr","A1B","baseflow",-117.75,42.25,1.21157002449036
2030,"apr","A1B","baseflow",-117.25,42.25,2.15671992301941
2070,"apr","A1B","baseflow",-122.25,48.75,119.820999145508
2070,"apr","A1B","baseflow",-121.75,48.75,132.839004516602
2070,"apr","A1B","baseflow",-121.25,48.75,112.47200012207
2070,"apr","A1B","baseflow",-120.75,48.75,187.746994018555
2070,"apr","A1B","baseflow",-120.25,48.75,74.6772994995117
2070,"apr","A1B","baseflow",-119.75,48.75,4.11322021484375
2070,"apr","A1B","baseflow",-119.25,48.75,0.00334999989718199
2070,"apr","A1B","baseflow",-118.75,48.75,22.8458003997803
2070,"apr","A1B","baseflow",-118.25,48.75,48.4902992248535
2070,"apr","A1B","baseflow",-117.75,48.75,74.1931991577148
2070,"apr","A1B","baseflow",-117.25,48.75,72.8902969360352
2070,"apr","A1B","baseflow",-122.25,48.25,66.4601974487305
2070,"apr","A1B","baseflow",-121.75,48.25,134.25
2070,"apr","A1B","baseflow",-121.25,48.25,119.916999816895
2070,"apr","A1B","baseflow",-120.75,48.25,173.63200378418
2070,"apr","A1B","baseflow",-120.25,48.25,52.7580986022949
2070,"apr","A1B","baseflow",-119.75,48.25,0.155880004167557
2070,"apr","A1B","baseflow",-119.25,48.25,0.0704099982976913
2070,"apr","A1B","baseflow",-118.75,48.25,0.19548000395298
2070,"apr","A1B","baseflow",-118.25,48.25,16.81369972229
2070,"apr","A1B","baseflow",-117.75,48.25,37.5560989379883
2070,"apr","A1B","baseflow",-117.25,48.25,63.4981994628906
2070,"apr","A1B","baseflow",-124.25,47.75,180.761001586914
2070,"apr","A1B","baseflow",-123.75,47.75,180.121002197266
2070,"apr","A1B","baseflow",-123.25,47.75,166.11799621582
2070,"apr","A1B","baseflow",-122.25,47.75,47.461799621582
2070,"apr","A1B","baseflow",-121.75,47.75,143.067001342773
2070,"apr","A1B","baseflow",-121.25,47.75,141.710998535156
2070,"apr","A1B","baseflow",-120.75,47.75,122.565002441406
2070,"apr","A1B","baseflow",-120.25,47.75,15.6265001296997
2070,"apr","A1B","baseflow",-119.75,47.75,0.00686000008136034
2070,"apr","A1B","baseflow",-119.25,47.75,0.00310000008903444
