Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic output,Spending per person
War In The Pacific NHP,488987,28590.4,356,13512.4,22378.4,35036.3,0.05846863
Washington Monument,252677,4795.7,70,2703.8,4269.9,6796.3,0.018979567
Washita Battlefield NHS,12313,719.9,10,253.4,429.1,797.7,0.058466661
Weir Farm NHS,39080,2285,26,1328.3,2067.1,3116.3,0.058469806
Whiskeytown NRA,875566,37748.7,546,13975.2,24040.3,41874.7,0.043113483
White House,611207,11600.5,166,6540.4,10328.7,16439.8,0.018979658
White Sands NM,555794,29298.6,437,10591.7,18186.5,33565.9,0.052714855
Whitman Mission NHS,50148,2932.1,42,1076.3,1952.9,3325.3,0.058468932
William Howard Taft NHS,30723,1796.3,30,925.1,1444.2,2558.9,0.058467598
Wilson's Creek NB,183699,10740.7,184,4822.7,7796.7,14112.4,0.058469017
Wind Cave NP,617377,62282.9,1066,25980,42848.5,82815.2,0.100883091
Wolf Trap National Park for the Performing Arts,437513,25580.7,360,13969.1,21941.9,35054.8,0.058468434
Women's Rights NHP,52683,3828.2,52,1624.6,3096,4959.4,0.072664806
World War II Memorial,4856532,92175.6,1313,51968.5,82069.7,130627.2,0.018979716
World War II Valor in the Pacific NM,1819020,106355.4,1330,50265.9,83246.9,130334.2,0.058468516
Wrangell   St Elias NP&PRES,79047,124665.5,1619,59090.6,108487.8,177629.4,1.577106026
Wright Brothers NMEM,458776,26824,431,11796.1,19305.9,34248,0.058468621
Wupatki NM,223173,14376.6,198,5296.9,9388.6,16009.9,0.064419083
Yellowstone NP,4257177,524319.8,8156,238536.4,383908.1,680381.8,0.123161381
Yosemite NP,5028868,520629.1,7883,238955.1,401329.8,686339.5,0.10352809
Yukon   Charley Rivers NPRES,1090,1025.8,8,407.8,964.3,1441.8,0.941100917
Zion NP ,4295127,244531.7,3382,126205.3,208287.2,333151.7,0.056932356
