Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic output,Spending per person
Hopewell Culture NHP,58058,3394.6,60,1759.3,2723.9,4831,0.058469117
Hopewell Furnace NHS,54168,3167.1,50,1792.8,2803.5,4647.5,0.058468099
Horseshoe Bend NMP,83370,4874.6,82,2227.4,3577.6,6507.4,0.058469473
Hot Springs NP,1544301,98960.2,1584,41152.8,69807.1,126576.1,0.064080901
Hovenweep NM,42863,2709,39,1039.6,1825.4,3153.8,0.063201362
Hubbell Trading Post NHS,67276,3933.6,61,1413,2439.6,4450.7,0.058469588
Independence NHP,5067511,296290,4585,173858.5,270008.3,439627.5,0.058468546
Indiana Dunes NL,1698222,73788,1024,39408.1,62104.4,100876.1,0.04345015
Isle Royale NP,24966,5600.7,92,1995.7,3518.9,6541.2,0.224333093
James A Garfield NHS,45438,1627.3,28,845.9,1326.1,2374.4,0.035813636
Jean Lafitte NP&PRES,438420,25633.8,395,12087.2,19421.5,33511.6,0.058468592
Jefferson NEM,1271855,127061.7,2296,70346.1,111061.1,198145,0.099902662
Jewel Cave NM,137276,8026.4,134,3268.4,5325.8,10237.9,0.05846907
Jimmy Carter NHS,66440,3884.6,66,1485.2,2529.4,4743.3,0.05846779
John D Rockefeller Jr MEM PKWY,1411820,49901.4,826,26961.5,43953.4,78932.5,0.035345441
John Day Fossil Beds NM,210111,9995.4,153,4183.9,6524.3,11801.9,0.047571998
John F Kennedy NHS,25468,1489.1,21,834.3,1314.8,2115.7,0.058469452
John Muir NHS,49376,2887,40,1667.8,2482.3,4000,0.058469702
Johnstown Flood NMEM,154932,9577.1,169,4977.9,7773.5,13656.8,0.061814861
Joshua Tree NP,2505286,123304.5,1701,63662,100692.7,164529.9,0.049217734
Kalaupapa NHP,71528,4182.2,54,1976.6,3273.5,5125.1,0.058469411
Kaloko Honokohau NHP,185040,10819,137,5113.3,8468.3,13258.2,0.058468439
Katmai NP&PRES,37818,59643.2,776,28270.5,51903.3,84982.4,1.577111428
Kenai Fjords NP,346534,62784.5,1200,34936.9,52200,90223.9,0.18117847
Kennesaw Mountain NBP,2360255,138000.7,2294,78261.9,121116.8,207703,0.058468555
Keweenaw NHP,14613,854.4,12,226.6,462.4,907.4,0.058468487
Kings Canyon NP,607479,52945.1,793,22734.4,38460.9,66635,0.087155441
Kings Mountain NMP,263357,10527.9,166,5134.5,8140.1,14073.9,0.039975774
Klondike Gold Rush AK NHP,912351,166412.4,3173,92500.1,138430.7,239144.4,0.182399537
Klondike Gold Rush WA NHP,69436,4059.8,57,1944.9,3360.7,5461.6,0.05846823
Knife River Indian Villages NHS,13328,779.3,11,340.7,544.6,992.1,0.058470888
Kobuk Valley NP,15500,24445.4,318,11587,21273.2,34831,1.577122581
Korean War Veterans MEM,4084298,77518.8,1106,43705.1,69019.8,109856.2,0.018979712
Lake Chelan NRA,45513,2908.8,37,1398.4,2393.1,3829.6,0.06391141
Lake Clark NP&PRES,21102,33280.3,432,15774.6,28961.5,47419.3,1.577115913
Lake Mead NRA,7175890,312693.6,4172,141437,226254.1,369031.2,0.043575584
Lake Meredith NRA,1025613,44426.5,654,16344.5,28445,51392.7,0.043317021
