"","x","y","value"
"1",-124.464110931281,47.2499506476745,21.0233333333333
"2",-124.464110931281,47.4832663902628,20.648085106383
"3",-124.464110931281,47.7165821328511,19.9879523809524
"4",-124.464110931281,47.9498978754393,20.8444192634561
"5",-124.081358411262,46.0833719347331,23.9056363636364
"6",-124.081358411262,46.3166876773214,22.5214942528736
"7",-124.081358411262,46.5500034199097,21.8934090909091
"8",-124.081358411262,46.7833191624979,21.3234562211982
"9",-124.081358411262,47.0166349050862,21.2686013986014
"10",-124.081358411262,47.2499506476745,20.4588041237113
"11",-124.081358411262,47.4832663902628,19.5160070671378
"12",-124.081358411262,47.7165821328511,19.062590051458
"13",-124.081358411262,47.9498978754393,18.067525
"14",-123.698605891242,46.0833719347331,20.989001996008
"15",-123.698605891242,46.3166876773214,23.0359135285914
"16",-123.698605891242,46.5500034199097,21.3229080932785
"17",-123.698605891242,46.7833191624979,21.8171989528796
"18",-123.698605891242,47.0166349050862,21.5906497175141
"19",-123.698605891242,47.2499506476745,19.705859375
"20",-123.698605891242,47.4832663902628,17.0106228373702
"21",-123.698605891242,47.7165821328511,14.0335384615385
"22",-123.698605891242,47.9498978754393,14.210752688172
"23",-123.315853371223,46.0833719347331,21.0089616252822
"24",-123.315853371223,46.3166876773214,20.0186641221374
"25",-123.315853371223,46.5500034199097,21.8787483176312
"26",-123.315853371223,46.7833191624979,22.3166139240506
"27",-123.315853371223,47.0166349050862,21.6850736278447
"28",-123.315853371223,47.2499506476745,19.4676639344262
"29",-123.315853371223,47.4832663902628,16.1302485659656
"30",-123.315853371223,47.7165821328511,12.8268571428571
"31",-123.315853371223,47.9498978754393,13.077915407855
"32",-122.933100851203,45.6167404495565,24.1785245901639
"33",-122.933100851203,45.8500561921448,24.4029611650485
"34",-122.933100851203,46.0833719347331,22.1240717299578
"35",-122.933100851203,46.3166876773214,20.8492156862745
"36",-122.933100851203,46.5500034199097,22.7219266055046
"37",-122.933100851203,46.7833191624979,22.650634057971
"38",-122.933100851203,47.0166349050862,21.7134275618375
"39",-122.933100851203,47.2499506476745,21.0324719101124
"40",-122.933100851203,47.4832663902628,18.9466078431373
"41",-122.933100851203,47.7165821328511,16.7016591928251
"42",-122.933100851203,47.9498978754393,17.5096221662469
"43",-122.550348331184,45.6167404495565,24.6893220338983
"44",-122.550348331184,45.8500561921448,22.262296819788
"45",-122.550348331184,46.0833719347331,18.2874186046512
"46",-122.550348331184,46.3166876773214,18.6201091703057
