"Year","Epoch","Season","Scenario","Value"
1975,"Historical","Winter","RCP8.5",0.15
1980,"Historical","Annual","RCP2.6",-0.358
1980,"Historical","Annual","RCP4.5",-0.358
1980,"Historical","Annual","RCP6",-0.358
1980,"Historical","Annual","RCP8.5",-0.358
1980,"Historical","Autumn","RCP2.6",-0.82
1980,"Historical","Autumn","RCP4.5",-0.82
1980,"Historical","Autumn","RCP6",-0.82
1980,"Historical","Autumn","RCP8.5",-0.82
1980,"Historical","Spring","RCP2.6",0.182
1980,"Historical","Spring","RCP4.5",0.182
1980,"Historical","Spring","RCP6",0.182
1980,"Historical","Spring","RCP8.5",0.182
1980,"Historical","Summer","RCP2.6",0.264
1980,"Historical","Summer","RCP4.5",0.264
1980,"Historical","Summer","RCP6",0.264
1980,"Historical","Summer","RCP8.5",0.264
1980,"Historical","Winter","RCP2.6",-1.22
1980,"Historical","Winter","RCP4.5",-1.22
1980,"Historical","Winter","RCP6",-1.22
1980,"Historical","Winter","RCP8.5",-1.22
1985,"Historical","Annual","RCP2.6",0.47
1985,"Historical","Annual","RCP4.5",0.47
1985,"Historical","Annual","RCP6",0.47
1985,"Historical","Annual","RCP8.5",0.47
1985,"Historical","Autumn","RCP2.6",0.31
1985,"Historical","Autumn","RCP4.5",0.31
1985,"Historical","Autumn","RCP6",0.31
1985,"Historical","Autumn","RCP8.5",0.31
1985,"Historical","Spring","RCP2.6",0.218
1985,"Historical","Spring","RCP4.5",0.218
1985,"Historical","Spring","RCP6",0.218
1985,"Historical","Spring","RCP8.5",0.218
1985,"Historical","Summer","RCP2.6",0.226
1985,"Historical","Summer","RCP4.5",0.226
1985,"Historical","Summer","RCP6",0.226
1985,"Historical","Summer","RCP8.5",0.226
1985,"Historical","Winter","RCP2.6",0.916
1985,"Historical","Winter","RCP4.5",0.916
1985,"Historical","Winter","RCP6",0.916
1985,"Historical","Winter","RCP8.5",0.916
1990,"Historical","Annual","RCP2.6",0.496
1990,"Historical","Annual","RCP4.5",0.496
1990,"Historical","Annual","RCP6",0.496
1990,"Historical","Annual","RCP8.5",0.496
1990,"Historical","Autumn","RCP2.6",0.29
1990,"Historical","Autumn","RCP4.5",0.29
1990,"Historical","Autumn","RCP6",0.29
1990,"Historical","Autumn","RCP8.5",0.29
1990,"Historical","Spring","RCP2.6",1.412
1990,"Historical","Spring","RCP4.5",1.412
1990,"Historical","Spring","RCP6",1.412
1990,"Historical","Spring","RCP8.5",1.412
1990,"Historical","Summer","RCP2.6",-0.32
1990,"Historical","Summer","RCP4.5",-0.32
1990,"Historical","Summer","RCP6",-0.32
1990,"Historical","Summer","RCP8.5",-0.32
1990,"Historical","Winter","RCP2.6",0.612
1990,"Historical","Winter","RCP4.5",0.612
1990,"Historical","Winter","RCP6",0.612
1990,"Historical","Winter","RCP8.5",0.612
1995,"Historical","Annual","RCP2.6",0.074
1995,"Historical","Annual","RCP4.5",0.074
1995,"Historical","Annual","RCP6",0.074
1995,"Historical","Annual","RCP8.5",0.074
1995,"Historical","Autumn","RCP2.6",0.32
1995,"Historical","Autumn","RCP4.5",0.32
1995,"Historical","Autumn","RCP6",0.32
1995,"Historical","Autumn","RCP8.5",0.32
1995,"Historical","Spring","RCP2.6",0.272
1995,"Historical","Spring","RCP4.5",0.272
1995,"Historical","Spring","RCP6",0.272
1995,"Historical","Spring","RCP8.5",0.272
1995,"Historical","Summer","RCP2.6",-0.01
1995,"Historical","Summer","RCP4.5",-0.01
1995,"Historical","Summer","RCP6",-0.01
1995,"Historical","Summer","RCP8.5",-0.01
1995,"Historical","Winter","RCP2.6",-0.136
1995,"Historical","Winter","RCP4.5",-0.136
1995,"Historical","Winter","RCP6",-0.136
1995,"Historical","Winter","RCP8.5",-0.136
2000,"Historical","Annual","RCP2.6",1.03
2000,"Historical","Annual","RCP4.5",1.03
2000,"Historical","Annual","RCP6",1.03
2000,"Historical","Annual","RCP8.5",1.03
2000,"Historical","Autumn","RCP2.6",1.61
2000,"Historical","Autumn","RCP4.5",1.61
2000,"Historical","Autumn","RCP6",1.61
2000,"Historical","Autumn","RCP8.5",1.61
2000,"Historical","Spring","RCP2.6",1.368
2000,"Historical","Spring","RCP4.5",1.368
2000,"Historical","Spring","RCP6",1.368
2000,"Historical","Spring","RCP8.5",1.368
2000,"Historical","Summer","RCP2.6",1.194
2000,"Historical","Summer","RCP4.5",1.194
2000,"Historical","Summer","RCP6",1.194
2000,"Historical","Summer","RCP8.5",1.194
2000,"Historical","Winter","RCP2.6",-0.0359999999999999
2000,"Historical","Winter","RCP4.5",-0.0359999999999999
2000,"Historical","Winter","RCP6",-0.0359999999999999
2000,"Historical","Winter","RCP8.5",-0.0359999999999999
2005,"Future","Annual","RCP2.6",1.095
2005,"Future","Annual","RCP4.5",0.7275
